frame,x,y,photons,sx,sy,bg,lpx,lpy,ellipticity,net_gradient,dx,dy,x_corrected,y_corrected,spot,group,x_group,y_group
2,46.060863,101.59159,7928.969,2.0550594,2.0932999,51.79147,0.03673689,0.037602894,0.018268015,9839.769,-0.30976215004921,-0.451135396957397,46.3706251500492,102.042725396957,5,,,
2,60.130623,190.57582,9631.469,2.2875042,2.3347914,8.135112,0.032303493,0.033001326,0.020253297,9132.078,-0.30976215004921,-0.451135396957397,60.4403851500492,191.026955396957,6,,,
2,65.1999,227.65834,8999.755,2.3135958,2.1344893,23.567669,0.035915498,0.032769635,0.077414766,8809.634,-0.30976215004921,-0.451135396957397,65.5096621500492,228.109475396957,7,,,
2,73.56948,197.49782,16047.413,2.5565205,2.5029104,-20.272402,0.025428377,0.024970235,0.020969942,11922.845,-0.30976215004921,-0.451135396957397,73.8792421500492,197.948955396957,8,,,
2,75.38072,159.46661,9980.32,2.180013,2.2084394,11.810978,0.030513626,0.03093452,0.012871718,10613.2705,-0.30976215004921,-0.451135396957397,75.6904821500492,159.917745396957,9,677,75.6904821500492,159.917745396957
2,92.13195,133.02425,7267.533,2.200919,2.0221193,31.02,0.039543737,0.035743255,0.08123863,7914.6323,-0.30976215004921,-0.451135396957397,92.4417121500492,133.475385396957,10,,,
2,97.56997,223.69243,10117.157,2.194324,2.2179315,10.520695,0.030376375,0.030719563,0.010643923,10642.574,-0.30976215004921,-0.451135396957397,97.8797321500492,224.143565396957,11,,,
2,98.19671,85.09136,11326.458,2.3591785,2.1675265,13.896994,0.031201689,0.028508592,0.08123678,11686.963,-0.30976215004921,-0.451135396957397,98.5064721500492,85.5424953969574,12,,,
2,108.96757,173.97319,9518.468,2.1832688,2.2334692,22.8142,0.03247624,0.033317257,0.022476451,9506.21,-0.30976215004921,-0.451135396957397,109.277332150049,174.424325396957,13,3949,109.277332150049,174.424325396957
2,118.11536,145.27927,12523.169,2.3649971,2.3614094,-4.5515876,0.027970219,0.027929666,0.0015170093,11487.568,-0.30976215004921,-0.451135396957397,118.425122150049,145.730405396957,14,1090,118.425122150049,145.730405396957
2,128.05481,94.06523,17526.86,2.5403435,2.3786798,-13.685801,0.024802888,0.023354968,0.063638546,13425.495,-0.30976215004921,-0.451135396957397,128.364572150049,94.5163653969574,15,1213,128.364572150049,94.5163653969574
2,132.21555,199.17241,12138.22,2.480941,2.4469452,-18.78713,0.02808849,0.02776753,0.013702811,9884.044,-0.30976215004921,-0.451135396957397,132.525312150049,199.623545396957,16,,,
2,146.95726,53.278015,12979.554,2.3417053,2.373503,4.0570326,0.027950741,0.02833379,0.013396927,10244.177,-0.30976215004921,-0.451135396957397,147.267022150049,53.7291503969574,17,,,
2,153.03853,260.64786,6339.071,1.9928962,1.9649893,43.270542,0.03977691,0.039080866,0.014003186,7219.1724,-0.30976215004921,-0.451135396957397,153.348292150049,261.098995396957,18,,,
2,157.19794,171.32336,10166.808,2.3228314,2.093737,20.204113,0.033249192,0.029650377,0.09862726,9880.987,-0.30976215004921,-0.451135396957397,157.507702150049,171.774495396957,19,,,
2,162.69115,23.36192,1763.2664,1.6725398,1.8415297,57.725464,0.0823212,0.09558547,0.091766044,3293.0913,-0.30976215004921,-0.451135396957397,163.000912150049,23.8130553969574,20,,,
2,176.52374,240.21779,6555.4673,1.9665349,1.9227965,46.443344,0.03866883,0.037595525,0.022241337,9701.831,-0.30976215004921,-0.451135396957397,176.833502150049,240.668925396957,21,,,
2,191.01828,181.64821,12324.721,2.3728046,2.181924,11.297615,0.029751798,0.02725076,0.08044511,9958.912,-0.30976215004921,-0.451135396957397,191.328042150049,182.099345396957,22,,,
2,193.922,175.59981,6728.0083,1.8377655,1.8805451,101.073586,0.039831482,0.041131295,0.022748554,9600.214,-0.30976215004921,-0.451135396957397,194.231762150049,176.050945396957,23,,,
2,196.25975,47.562794,9867.175,2.0853007,2.1093032,42.51735,0.03184417,0.03228152,0.011379375,9787.098,-0.30976215004921,-0.451135396957397,196.569512150049,48.0139293969574,24,,,
2,198.73332,98.27617,10106.688,2.1682668,2.254373,39.674557,0.032636184,0.034192055,0.03819523,8886.171,-0.30976215004921,-0.451135396957397,199.043082150049,98.7273053969574,25,,,
2,222.00179,84.69381,4309.4663,2.1899269,2.3066435,51.924488,0.06070902,0.06543179,0.0506002,4009.8862,-0.30976215004921,-0.451135396957397,222.311552150049,85.1449453969574,26,,,
2,223.09152,116.1622,8543.473,2.1699533,2.1144288,34.018436,0.03558283,0.034504976,0.025587918,10296.196,-0.30976215004921,-0.451135396957397,223.401282150049,116.613335396957,27,,,
2,228.98462,91.91599,9453.783,2.220539,2.32976,23.75229,0.033329148,0.03520269,0.046880785,9609.172,-0.30976215004921,-0.451135396957397,229.294382150049,92.3671253969574,28,,,
2,229.26497,67.904465,8974.392,2.0673506,1.9956315,57.55778,0.03470099,0.033201665,0.03469134,11016.796,-0.30976215004921,-0.451135396957397,229.574732150049,68.3556003969574,29,,,
2,236.68858,71.43739,9053.987,2.4187338,2.2989595,48.975876,0.04115514,0.03856034,0.04951944,8125.394,-0.30976215004921,-0.451135396957397,236.998342150049,71.8885253969574,30,,,
2,248.58522,78.47762,21691.807,2.084499,2.2208753,17.023346,0.019513391,0.02083111,0.06140659,24079.744,-0.30976215004921,-0.451135396957397,248.894982150049,78.9287553969574,31,,,
2,249.21216,129.76767,9131.558,2.156281,2.1753294,25.643263,0.033084016,0.03341713,0.008756583,8778.043,-0.30976215004921,-0.451135396957397,249.521922150049,130.218805396957,32,,,
2,249.90038,65.67423,13929.519,2.4238193,2.375566,9.279335,0.028339002,0.027754098,0.01990796,12415.998,-0.30976215004921,-0.451135396957397,250.210142150049,66.1253653969574,33,,,
2,281.7112,79.6138,11238.306,2.2571557,2.3839495,13.856,0.02988387,0.03168426,0.053186473,10169.011,-0.30976215004921,-0.451135396957397,282.020962150049,80.0649353969574,34,,,
2,286.56625,88.090195,8327.825,2.1961422,2.1098363,29.397915,0.03610876,0.034454744,0.039298847,8352.381,-0.30976215004921,-0.451135396957397,286.876012150049,88.5413303969574,35,,,
2,288.86768,243.25499,7758.1367,2.3443494,2.3340766,9.234323,0.037396915,0.03722173,0.0043819156,6915.6323,-0.30976215004921,-0.451135396957397,289.177442150049,243.706125396957,36,,,
3,3.99143,207.23962,13685.833,2.1905212,2.2251751,60.38998,0.028761813,0.02931579,0.015573561,14608.746,-0.308958053588867,-0.450010359287262,4.30038805358887,207.689630359287,0,26,4.30038805358887,207.689630359287
3,14.0491,5.045889,11739.951,2.3681817,2.3059952,10.832182,0.030428074,0.029588558,0.026259167,10242.192,-0.308958053588867,-0.450010359287262,14.3580580535889,5.49589935928726,1,,,
3,17.593904,145.42235,9272.083,2.2969582,2.14958,18.22146,0.034359463,0.03193424,0.06416234,9799.329,-0.308958053588867,-0.450010359287262,17.9028620535889,145.872360359287,2,,,
3,29.455297,231.04915,9777.942,2.374914,2.3550541,88.07052,0.042415116,0.04191984,0.00836232,9714.961,-0.308958053588867,-0.450010359287262,29.7642550535889,231.499160359287,3,4412,29.7642550535889,231.499160359287
3,40.028236,107.59902,13362.205,2.367304,2.502615,4.2582884,0.02785819,0.029470365,0.0540678,10789.341,-0.308958053588867,-0.450010359287262,40.3371940535889,108.049030359287,4,,,
3,46.027912,101.514824,8905.3545,2.108569,2.1779072,45.578205,0.034648724,0.03605598,0.03183713,9462.367,-0.308958053588867,-0.450010359287262,46.3368700535889,101.964834359287,5,,,
3,60.26348,190.574,8704.677,2.2559085,2.1962483,22.414322,0.035430104,0.034367725,0.026446195,8680.247,-0.308958053588867,-0.450010359287262,60.5724380535889,191.024010359287,6,,,
3,65.32918,227.61444,9609.569,2.1346693,1.9952837,28.024681,0.03197897,0.02963002,0.0652961,11752.871,-0.308958053588867,-0.450010359287262,65.6381380535889,228.064450359287,7,,,
3,73.52869,197.46695,13928.974,2.4450295,2.3687603,-5.2785273,0.027359027,0.026544463,0.03119355,12022.343,-0.308958053588867,-0.450010359287262,73.8376480535889,197.916960359287,8,,,
3,75.39079,159.44989,8284.667,2.101068,1.9669255,34.662945,0.03495641,0.032346953,0.06384492,10280.78,-0.308958053588867,-0.450010359287262,75.6997480535889,159.899900359287,9,677,75.6997480535889,159.899900359287
3,92.04558,133.05574,9092.282,2.113875,2.1605659,28.173656,0.03267196,0.03350198,0.021610515,11097.056,-0.308958053588867,-0.450010359287262,92.3545380535889,133.505750359287,10,,,
3,97.648,223.65932,9741.06,2.2278633,2.089623,18.751587,0.032365717,0.030173846,0.062050637,11095.508,-0.308958053588867,-0.450010359287262,97.9569580535889,224.109330359287,11,,,
3,98.21251,85.12547,9928.79,2.206434,2.0758667,28.967888,0.032675568,0.030479407,0.059175715,10624.833,-0.308958053588867,-0.450010359287262,98.5214680535889,85.5754803592873,12,,,
3,108.95773,174.06499,10091.007,2.2638428,2.2549164,12.168659,0.03160767,0.031475093,0.003943026,9260.404,-0.308958053588867,-0.450010359287262,109.266688053589,174.515000359287,13,,,
3,117.88788,167.3716,5390.3647,2.158728,2.0554981,37.88882,0.04797723,0.045047563,0.04781972,6197.6685,-0.308958053588867,-0.450010359287262,118.196838053589,167.821610359287,14,3949,118.196838053589,167.821610359287
3,118.09818,145.25803,8675.715,2.1345675,2.0593987,35.028645,0.034677528,0.03323968,0.035215024,8648.671,-0.308958053588867,-0.450010359287262,118.407138053589,145.708040359287,15,1090,118.407138053589,145.708040359287
3,128.08203,94.01863,16826.232,2.5631723,2.4139261,1.107591,0.026595026,0.025057849,0.058227148,11141.498,-0.308958053588867,-0.450010359287262,128.390988053589,94.4686403592873,16,1213,128.390988053589,94.4686403592873
